Slno,Code,File Name,Date,Year,Type,Language,Location,Source,Source Link
44,Bali,Hin_Bali_maharaj_aur_Vaman_Bhagavan_ki_lila-Day-1_ISKCON_Jaipur_26-09-21.mp3,26-09-21,2021,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1-Ner_8aEcOiPq6ve_kGsixtwCGJBGcbA
45,Haridas,Hin_Haridas_thakur_tirobhav_ISKCON_Angul_02-09-20.mp3,02-09-20,2020,LECTURE,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=1JkZ2H7sRRclR6EdsXBCE8y6anY1IKco2
46,Srila,Hin_Srila_Bhaktivinod_thakur_avirbhav_ISKCON_Vrindavan_22-08-18.mp3,22-08-18,2018,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1t9rnVzbeE8wC4VXAsXrE6EVc0LDflM4D
47,Radhastami,Hin_Radhastami_lecture_ISKCON_Vrindavan_31-08-25.mp3,31-08-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1OEYrKvQiljOS082fCfiVQf1QWBpLclCP
48,Radhastami,Hin_Radhastami_lecture_ISKCON_Vrindavan_02-09-14.mp3,02-09-14,2014,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=15hMx5cgSBK34ZPBku57Yv8WQSAUk-lLT
49,Janmastami,Hin_Janmastami_lecture_ISKCON_Angul-15-08-25.mp3,15-08-25,2025,LECTURE,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=1XRpnTwETKnLpSgiyBJCcNtuy8rKx6BHr
50,Krutishree,Hin_Krutishree_Krishna_ka_bhakt_bane_Vrindavan_21-07-25.mp3,21-07-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1leElja_2AdAcb9753dBRK-39yjVXt1Nz
51,BG-08.08,Hin_BG-08.08_Bhagavan_Krishna_ko_prapt_karneka_upaya_ISKCON_Vrindavan_17-07-25.mp3,17-07-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1GEuhEbNU5u61fRMBrQOZkwklw_iYIGod
52,Mahaprabhu,Hin_Mahaprabhu_ka_Jharikhand_se_ho_kar_Vrindavan_yatra_ISKCON_Ramgarh-13-08-25.mp3,13-08-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1W2jnfaV6wTll0xFGqFWNkneEdgaXlcGE
53,Janmastami,Hin_Janmastami_special_Bhagavatam_class-part-4_ISKCON_Ranchi-13-08-25.mp3,13-08-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1QzxFHsM6-mmBb9mepFqqSzB0FhHKfEew
54,Janmastami,Hin_Janmastami_special_Bhagavatam_class-part-3_ISKCON_Ranchi-13-08-25.mp3,13-08-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1gih7LPDY8C6f6Oz598W6w_ZT7ajrf1c-
55,Janmastami,Hin_Janmastami_special_Bhagavatam_class-part-2_ISKCON_Ranchi-12-08-25.mp3,12-08-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1qZV6GrCYf4GHEaVJp10Zt8mo26YiYHiF
56,Janmastami,Hin_Janmastami_special_Bhagavatam_class-part-1_ISKCON_Ranchi-12-08-25.mp3,12-08-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1cIbgBCCbqNj6Pzv4x1E6Sj4W_wrJ-ryg
57,Janmastami,Hin_Janmastami_lecture_ISKCON_Angul-30-08-21.mp3,30-08-21,2021,LECTURE,Hin,Angul,Hindi,https://drive.google.com/uc?export=download&id=1gVi0RjJSk6lqWcrO4hgeqUGcqW3Txi2a
58,Devtaon,Hin_Devtaon_dvara_garbha_stuti_location_unknown-09-07-09.mp3,09-07-09,2009,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1fOlM6eT6scUQt0pvDy0rC0I-jall2yry
59,Devaki,Hin_Devaki_ke_garbha_mai_Bhagavan_location_unknwon-08-07-09.mp3,08-07-09,2009,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1VxtUsDk2gl30jWCeq7TK5mwJv1LZupXN
60,BG-15.06,Hin_BG-15.06_Adhyatmik_jagat_ka_varnan_ISKCON_Vrindavan_14-08-18.mp3,14-08-18,2018,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1yuT6u6YjyZmym63dZKnK0GGnJZW9oMub
61,Rupa,Hin_Rupa_Gosvami_tirobhav_tithi_ISKCON_Vrindavan_12-08-18.mp3,12-08-18,2018,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1u5sSWMHY397n-yelLRHYCk0BZCPlePbV
62,Pitru,Hin_Pitru_purushon_ka_uddhar_Odia_abash_colony_Surat_23-09-19.mp3,23-09-19,2019,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1pSv3HcyRNIMDxjdFhFinbQan0kCNlLlc
63,Dhruv,Hin_Dhruv_charit-Day-4_Surat_22-09-19.mp3,22-09-19,2019,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=12UgsiYA5OcmEzqjXiTsoW-AQuquCBSyz
64,Dhruv,Hin_Dhruv_charit-Day-3_Surat_21-09-19.mp3,21-09-19,2019,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1UG3YxouMZRdGpn6-wWkSZJGNxpsDd2Ge
65,Dhruv,Hin_Dhruv_charit-Day-2_Surat_20-09-19.mp3,20-09-19,2019,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1Oglwtm1Lvdv_zyuLy2hBQLjmTG8bEgoB
66,Dhruv,Hin_Dhruv_charit-Day-1_Surat_19-09-19.mp3,19-09-19,2019,SEMINAR,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=13IEWkz8ieS8gw-llkRfP90J7zhMtu2K0
67,BG-08.14,Hin_BG-08.14_Suddha_bhakti_ISKCON_Vrindavan_26-07-25.mp3,26-07-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1f_WaxlRPd4zAKowWfC9xwgK6w-tjlBJA
68,Bhandira,Hin_Bhandira_van_Man_sarovar_VamsiVat_Vrindavan_14-07-25.mp3,14-07-25,2025,LECTURE,Hin,Vrindavan,Hindi,https://drive.google.com/uc?export=download&id=1fNs8SVoLdf8OitsV6AVYj2JoAm1RuR1h
69,SB-11.23.23,Hin_SB-11.23.23_Sahisnu_kaise_bane_ISKCON_Surat-29-06-25.mp3,29-06-25,2025,SB,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1a7YwHxMTrD3BztLBvWP64LU8z9bioz5Y
70,Jei,Hin_Jei_Gaura_sei_Krishna_sei_Jagannath_Surat_29-06-25.mp3,29-06-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1yigE70-CDERrkSmU4IcJev-RnK0V6By3
71,Jagannath,Hin_Jagannath_katha_Surat_26-06-25.mp3,26-06-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1O5-yDxiWuIxg8jXgEG3zcEpikCDxWuaj
72,BG-5.29,Hin_BG-5.29_Shanti_prapt_karne_ka_upaya_Surat_28-06-25.mp3,28-06-25,2025,LECTURE,Hin,Unknown,Hindi,https://drive.google.com/uc?export=download&id=1PkySkCAbNfxT5OCTPm5io1-ZkEz62hQZ
